0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0061-43,16-001,ALTA VERAPAZ,COBAN,EOUN NO.1 'FELIPA GOMEZ',2A. CALLE 1-99 ZONA 4,41362111,EFRAIN CAAL CUC,HAROLDO BENJAMÍN HERRERA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0062-43,16-001,ALTA VERAPAZ,COBAN,EOUV NO.2 'SALVADOR DE OLIVA',5A. CALLE 2-80 ZONA 3,79510749,EFRAIN CAAL CUC,SODELVA ESCARLETH BUENAFÉ PÉREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0063-43,16-001,ALTA VERAPAZ,COBAN,EOUV NO. 1 'VICTOR CHAVARRIA',10A. AVENIDA 4-22 ZONA 2,79510789,EFRAIN CAAL CUC,NELSON RENE LOPEZ CAAL,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0064-43,16-001,ALTA VERAPAZ,COBAN,"EOUM DE APLICACION ""GENERAL ARTURO GUILLERMO DE LA CRUZ GELPCKE""",6A. AVENIDA 6-66 ZONA 11 BARRIO LA LIBERTAD,53352341,EFRAIN CAAL CUC,FREDY GUILLERMO CUC MO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0065-43,16-001,ALTA VERAPAZ,COBAN,EOUM,CANTON LAS CASAS,77945323,EFRAIN CAAL CUC,JUAN JOSÉ JOLOMNÁ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0066-43,16-001,ALTA VERAPAZ,COBAN,EOUM 'RICARDO ANDERSON',9A. AVENIDA 7-28 ZONA 10,77250185,EFRAIN CAAL CUC,DANIEL BERNARDO RAMIREZ GONZÁLEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0067-43,16-004,ALTA VERAPAZ,COBAN,EORM,ALDEA SAN JOSE ICBOLAY,,AQUILES GIOVANI BAC GUEVARA,EDGAR BENJAMIN CAAL SAQUI,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0068-43,16-037,ALTA VERAPAZ,COBAN,EORM,ALDEA SALACUIM,57852818,CESAR RIGOBERTO CUC CAAL,ANA MARIA CHOC COC,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0069-43,16-004,ALTA VERAPAZ,COBAN,EORM,ALDEA SAN BENITO I,31996977,AQUILES GIOVANI BAC GUEVARA,ALMAGRO RIGOBERTO FRANCO FERNÁNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0071-43,16-004,ALTA VERAPAZ,COBAN,EORM,ALDEA SAHOLOM,45398450,AQUILES GIOVANI BAC GUEVARA,RUDY ELEODORO MAX XOL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0072-43,16-002,ALTA VERAPAZ,COBAN,EORM,ALDEA SAN PABLO XUCANEB,45187639,MOISES ADRIAN LOPEZ PEREZ,MARGARITA FLORICELDA HIDALGO CHO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0075-43,16-004,ALTA VERAPAZ,COBAN,EORM,ALDEA SANTA LUCIA LACHUA,57240914,AQUILES GIOVANI BAC GUEVARA,DIONICIO CHOC CÚ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
