0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-01-0008-43,15-002,BAJA VERAPAZ,SALAMA,EOUM,BARRIO AGUA CALIENTE,54177534,MIGUEL ANGEL ATZIJ PICON,GENOVEVA ISABEL GARCÍA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0009-43,15-030,BAJA VERAPAZ,SALAMA,LICEO MIXTO 'SAN MATEO',9A. AVE. 6-67 ZONA 1,79401926,NELSON JOEL HERNANDEZ HERNANDEZ,FRANCISCA PAPE CAAL,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0010-43,15-001,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO 'TEZULUTLAN',DIAGONAL 4 1-24 ZONA 2,79400182,IRIS QUETZALÍ ORDOÑEZ TURCIOS,ELIA NÍVEA LÓPEZ GARCÍA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0011-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA CHILASCÓ,41502575,MARVIN ESTUARDO REYES GUZMAN,VERÓNICA CLAUDINA RAMÍREZ SÁNCHEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0012-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA LAS LIMAS,57895828,AMNER ESAÚ FERNÁNDEZ LÓPEZ,ZONIA ELIZABETH CRÚZ RAYMUNDO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0013-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA NIÑO PERDIDO,51258783,MARVIN ESTUARDO REYES GUZMAN,GRISELDA ROSANELY CANAHUÍ ESPINOZA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0014-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA LOS PINOS,57403412,AMNER ESAÚ FERNÁNDEZ LÓPEZ,DÁLIDA EVILA MOYA CHACÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0015-43,15-004,BAJA VERAPAZ,SALAMA,EORM,ALDEA SANTA INES CHIVAC,30131919,BOYMAN GYRIONE MILIÁN GUZMÁN,VIRGILIO HERNÁNDEZ ALVAREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0016-43,15-002,BAJA VERAPAZ,SALAMA,EORM,ALDEA EL TEMPISQUE,,MIGUEL ANGEL ATZIJ PICON,LESBIA ROSSANA SIS IBOY,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
