0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0001-43,04-028,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACION,1RA. AV. 4-52 ZONA 4,78392827,ISMAEL CRISTAL AJCET,LESLIE IVETTE SÁNCHEZ VÁSQUEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0011-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA CERRO ALTO,57527774,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARTIN GARCÍA ALVAREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0012-43,04-002,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SAN MARCOS PACOC,36018787,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARVIN ABRAHAM GALINDO ESTRADA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0013-43,04-002,CHIMALTENANGO,CHIMALTENANGO,EORM,"KM. 57, CARRETERA INTERAMERICANA ALDEA BUENA VISTA",41172691,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,CARMELINA GÓMEZ BOC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0014-43,04-002,CHIMALTENANGO,CHIMALTENANGO,EORM EUGENIO MARÍA DE HOSTOS,5A. CALLE 2-44 COLONIA SAN MARCOS PUERTO RICO ZONA 8,42562593,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MILDRED JEANNTTE ABAJ MAZATE,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0015-43,04-002,CHIMALTENANGO,CHIMALTENANGO,EORM,KM. 60 CARRETERA INTERAMERICANA ALDEA HIERBA BUENA,47705022,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,DANIEL RICARDO MONTUFAR MARTINEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0016-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SAN JACINTO,52513511,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,SOLEDAD MARINA SIRIN AVILA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0017-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA TONAJUYU DEL CENTRO,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARÍA SOLEDAD TUBAC CALICIO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0018-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA CIENAGA GRANDE,51110442,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,EDGAR JIOVANY COC AJSIVINAC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0019-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,CASERIO EL ROSARIO ALDEA CIENAGA GRANDE,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,ENRIQUE JOLÓN ROSALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0020-43,04-028,CHIMALTENANGO,CHIMALTENANGO,EORM DE APLICACION CENTRO AMERICA,"6A. AVENIDA 14-376, ZONA 1, LA ALAMEDA, SECTOR ""A""",78391337,ISMAEL CRISTAL AJCET,FRANCISCO QUIÑONEZ PÉREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0021-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SANTA ISABEL,52430992,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,CLAUDIA MARITZA MORALES ROMERO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0023-43,04-002,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA MONTE DE LOS OLIVOS,42871840,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,HEBER ALEXANDER CHALÍ SON,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0024-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,"21A. CALLE 3-141 EL DURAZNO, ZONA 6",41506821,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARIO OSWALDO AJSIVINAC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0025-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA BOLA DE ORO,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,ANA MARÍA PORRAS FIGUEROA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0026-43,04-028,CHIMALTENANGO,CHIMALTENANGO,EOUM CANTON EL CALVARIO,8A. CALLE 4-55 ZONA 1 QUINTAS LOS APOSENTOS I,78392821,ISMAEL CRISTAL AJCET,ILEANA PATRICIA MIJANGOS LÓPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0027-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EOUM JOSE JOAQUIN PARDO GALLARDO,7A. AVENIDA 3-15 ZONA 2,78393580,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,EDITH GADIEL NAVAS GARCIA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0028-43,04-001,CHIMALTENANGO,CHIMALTENANGO,EOUM TIPO FEDERACIÓN MIGUEL HIDALGO Y COSTILLA,1A. CALLE 9-120 ZONA 3,78395385,ABIMAEL ACUTA ABAJ,ESTHIVEN ESTUARDO ESQUIT GRANADOS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0029-43,04-001,CHIMALTENANGO,CHIMALTENANGO,EOUM TIPO FEDERACION 'MIGUEL HIDALGO Y COSTILLA',1A. CALLE 10-57 ZONA 3,78392235,ABIMAEL ACUTA ABAJ,DORLY MAGLORY SERRANO MOYA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0030-43,04-027,CHIMALTENANGO,CHIMALTENANGO,EOUM 'CANTON LA CRUZ',3A. AVENIDA Y 4A. CALLE ESQUINA ZONA 2,44035402,ISMAEL CRISTAL AJCET,MARCOS ANTONIO YOOL SIS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0031-43,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6A. AVENIDA 3-48 ZONA 5,77282600,MARILENA HERNÁNDEZ CABRERA,AXEL EDUARDO ESTRADA CHÁVEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0033-43,04-002,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""MARÍA INMACULADA""","DIAGONAL 1, 7-131 ZONA 8, ALDEA BUENA VISTA",78391591,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARÍA CARMEN MARTÍNEZ OLARTE,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0034-43,04-001,CHIMALTENANGO,CHIMALTENANGO,LICEO CHIMALTECO 'ALICIA GONZALEZ GIRON',5A. AVENIDA 1-82 ZONA 4,79453597,ABIMAEL ACUTA ABAJ,WALTER XICAY CHOPOX,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0035-43,04-027,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""",4A. AVENIDA 2-95 ZONA 3,78393574,ISMAEL CRISTAL AJCET,IRMA ARACELI MENDOZA ALCÚ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0075-43,04-020,CHIMALTENANGO,CHIMALTENANGO,"LICEO TECNOLOGICO CRISTIANO ""CASTILLO DE LA SABIDURIA""",COLONIA LAS LOLITAS ZONA 4,78395432,MARILENA HERNÁNDEZ CABRERA,GLORIA MARIELA CASTILLO ESTRADA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0081-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA TONAJUYU BUENOS AIRES,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,JUAN EMILIO CUMEZ GUERRA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0082-43,04-002,CHIMALTENANGO,CHIMALTENANGO,EORM,CASERÍO MONTE CRISTO,47514434,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,WILSON ESTUARDO GIRON GOMEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0083-43,04-020,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SOCOBAL,57632446,MARILENA HERNÁNDEZ CABRERA,SERGIO ANÍBAL BÁMACA SIQUINAJAY,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0084-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA LABOR DE FALLA,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,EDDY NEFTALÍ TUBAC SOCOY,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0085-43,04-002,CHIMALTENANGO,CHIMALTENANGO,EORM,"13 AVENIDA, PASAJE 1-113, CASA ""B"" ALDEA BUENA VISTA, ZONA 8",44241985,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,JERLY MARVEN TUBAC SOCOY,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0086-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SANTA ISABEL II,50386604,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,GRICELDA JUÁREZ PAULICH,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0087-43,04-028,CHIMALTENANGO,CHIMALTENANGO,EORM,"DIAGONAL 5, PASAJE 10-131 CASA ""D"", COLONIA EL ESFUERZO, ZONA 5",,ISMAEL CRISTAL AJCET,ROSALIO ISRAEL CHÉN CHEREC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0089-43,04-020,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SOCOBAL,54688289,MARILENA HERNÁNDEZ CABRERA,JUAN CARLOS CHIQUITÓ CAN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0090-43,04-002,CHIMALTENANGO,CHIMALTENANGO,EORM,"13 AVENIDA, PASAJE 1-113 CASA ""B"" ALDEA BUENA VISTA ZONA 8",42722413,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,ANA GRISELDA PÉREZ TOJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0106-43,04-027,CHIMALTENANGO,CHIMALTENANGO,"EOUM DE EDUCACION ESPECIAL ""CIUDAD DE LOS ESCUDOS""",4A. CALLE 4-09 ZONA 1,56963467,ISMAEL CRISTAL AJCET,DULCE MARÍA CHOC LÓPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0131-43,04-003,CHIMALTENANGO,CHIMALTENANGO,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO NO. 3, C E T A CH NO 3",8A. AVENIDA 3-59 ZONA 2,77741100,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,JOSÉ EDWIN VILLARREAL AGUILAR,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0149-43,04-002,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO CRISTIANO ""AGUA DE VIDA""","15 AVENIDA 1-30 LA PEDRERA, ZONA 8",77283378,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,HEIDY CLARA CHIS MARTINEZ,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0177-43,04-001,CHIMALTENANGO,CHIMALTENANGO,"CENTRO EDUCATIVO ""CAMINO A LA SABIDURIA""",10A. CALLE 1-80 ZONA 3,78391193,ABIMAEL ACUTA ABAJ,JOSÉ ALFREDO TOL CHUY,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0179-43,04-002,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2),"3A. CALLE 6-125, ZONA 4",78739582,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,BERTHA MARIA QUIROA GARNICA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0183-43,04-001,CHIMALTENANGO,CHIMALTENANGO,COLEGIO BLESS,1A. CALLE 9-307 ZONA 4,78739432-79649696,ABIMAEL ACUTA ABAJ,MARIO RAUL DE LA CRUZ ELÍAS,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0186-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA BOLA DE ORO,58646465,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,ELDA AMALIA OTZOY COLAJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0192-43,04-028,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CRISTIANO VERBO CHIMALTENANGO,"3A. AVENIDA DE LAS FLORES 7-62 QUINTAS LOS APOSENTOS 1, ZONA 1",78396501,ISMAEL CRISTAL AJCET,ANABELLA MAZARIEGOS RIVADENEIRA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0200-43,04-020,CHIMALTENANGO,CHIMALTENANGO,"CENTRO EDUCATIVO CRISTIANO ""MI ESPECIAL TESORO""","8A. AVENIDA ""A"" 4B-16, COLONIA QUINTAS LAS VICTORIAS, ZONA 6",56925212,MARILENA HERNÁNDEZ CABRERA,VANESSA KARINA LÓPEZ ALVAREZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0205-43,04-028,CHIMALTENANGO,CHIMALTENANGO,"CENTRO EDUCATIVO Y DE FORMACIÓN INTEGRAL ""MARÍA MONTESSORI""","9A. CALLE 5-60 ZONA 1, QUINTAS LOS APOSENTOS I",34018828,ISMAEL CRISTAL AJCET,ANA ROXANDA RODRIGUEZ CABRERA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0207-43,04-020,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ENSEÑANZA INTEGRAL SHALOM,"1A. CALLE 6-185, ZONA 1",78392220,MARILENA HERNÁNDEZ CABRERA,ALMA NOHEMI CHOC MUTZUTZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0210-43,04-001,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO ADONAÍ,3A. AVENIDA 3-65 ZONA 3,78391497,ABIMAEL ACUTA ABAJ,SARA SUCETH ESQUIVEL MARROQUIN,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0216-43,04-001,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""ROBINSON""",1A. CALLE 7-206 ZONA 3,78404913,ABIMAEL ACUTA ABAJ,ZUCELLY ANGEANETTE SALAZAR ANLEU,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0219-43,04-002,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CRISTIANO CATÓLICO JUAN PABLO II,"2DA. CALLE 3A-91 ZONA 7, ALDEA BUENA VISTA",49473374,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,JUAN JOSÉ SAPUT MARTINEZ,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0234-43,04-003,CHIMALTENANGO,CHIMALTENANGO,COLEGIO EVANGÉLICO BILINGÜE ESCORBAN,"1A. CALLE 14-274 ZONA 6, ALDEA SANTA ISABEL",46001085,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARTÍN ESTUARDO AJSIVINAC LÓPEZ,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0241-43,04-002,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO DE INGLÉS ""GRACE""","1A. AVENIDA 1-235 ALDEA BUENA VISTA, ZONA 7",79386180,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,JULIO WALDEMAR DIAZ CANAN,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0251-43,04-028,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO EXCELENCIA EN LECTURA, EDUCACIÓN NOVEDOSA Y TECNOLOGÍA, -EXCELLENT-","6A. AVENIDA 12A-84 ZONA 1, VILLA MARÍA DEL CARMEN, SECTOR ""C"", LA ALAMEDA",77913714,ISMAEL CRISTAL AJCET,GREYMAR MANOLO MENDEZ GARCIA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0256-43,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CRISTIANO MORIAH,PRIMERA CALLE 6-123 ZONA 2,78391131,MARILENA HERNÁNDEZ CABRERA,WENDY MARISOL SAL SIQUINAJAY,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0259-43,04-001,CHIMALTENANGO,CHIMALTENANGO,COLEGIO BILINGÜE AVA GRACE,4A. AVENIDA 5A-47 ZONA 3,78429243,ABIMAEL ACUTA ABAJ,JOEL EDUARDO TAQUIRÁ AJÚ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0269-43,04-001,CHIMALTENANGO,CHIMALTENANGO,COLEGIO TECNOLÓGICO GUERRERO,6A. CALLE Y 1A. AVENIDA 0-53 ZONA 3,45608315,ABIMAEL ACUTA ABAJ,CANDY YESENIA AJÚ PÉREZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0289-43,04-002,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS INTEGRADOS CEI,"1ERA. CALLE PASAJE 6-106 CASA ""I"", ALDEA BUENA VISTA, ZONA 8",55749641,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,ALEJANDRO ISRAEL RIVAS RAMIREZ,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0296-43,04-001,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,5A. AVENIDA 1-45 ZONA 4,78391189,ABIMAEL ACUTA ABAJ,VANY MAGDAI MORALES HERNANDEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0308-43,04-001,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CRISTIANO BILINGÜE AMOR Y GRACIA,4A. AVENIDA 5A-47 ZONA 3,79370445,ABIMAEL ACUTA ABAJ,LUIS EDUARDO SATZ PIRIR,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0310-43,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6TA AVENIDA 3-48 ZONA 5 CHIMALTENAGO,77282600,MARILENA HERNÁNDEZ CABRERA,AXEL EDUARDO ESTRADA CHÁVEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,CHIMALTENANGO
04-01-0315-43,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO BILINGÜE MONTPELLIER,"1RA. AVENIDA A 1-71, ZONA 5",58728167,MARILENA HERNÁNDEZ CABRERA,LUIS ALBERTO AVILA MARROQUÍN,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0321-43,04-028,CHIMALTENANGO,CHIMALTENANGO,"CENTRO EDUCATIVO ""LAS CUMBRES""",2A. AVENIDA A 6-38 ZONA 1 QUINTAS LOS APOSENTOS.,54941497,ISMAEL CRISTAL AJCET,JUAN CARLOS XICAY CHANG,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,CHIMALTENANGO
04-01-0324-43,04-001,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO CRISTIANO INTERNACIONAL MISIONERO ""LOS ROBLES""",1A. CALLE 14-724 ZONA 6,47085296,ABIMAEL ACUTA ABAJ,BLANCA NIEVES PORRAS PINEDA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,CHIMALTENANGO
04-01-0328-43,04-001,CHIMALTENANGO,CHIMALTENANGO,COLEGIO BILINGÜE GRACE INTERNACIONAL,2A.. CALLE 3-47 ZONA 4,42854930,ABIMAEL ACUTA ABAJ,JOEL EDUARDO TAQUIRÁ AJÚ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0379-43,04-028,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO KAQCHIKEL AMAQ',"DIAGONAL 5, 13-142, ZONA 5, LA ALAMEDA",77283439,ISMAEL CRISTAL AJCET,GLENDY FABIOLA ESQUIT GÓMEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0383-43,04-001,CHIMALTENANGO,CHIMALTENANGO,LICEO MODERNO CHIMALTECO ALICIA GONZÁLEZ GIRÓN,5A. AVENIDA 1-82 ZONA 4,79453597,ABIMAEL ACUTA ABAJ,BÁRBARA VIVIANA ULUÁN PABLO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0387-43,04-028,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO FÉNIX EDUCACIÓN A DISTANCIA IFED,"6A. AVENIDA 8-42, COLONIA QUINTA LOS APOSENTOS I, ZONA 1",30454299,ISMAEL CRISTAL AJCET,DAVID OTONIEL ORTIZ ESTRADA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIMALTENANGO
04-01-0562-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SAN ANTONIO LAS MINAS,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,JORGE MARIO CUMEZ GUERRA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0564-43,04-002,CHIMALTENANGO,CHIMALTENANGO,COLEGIO EVANGELICO MIXTO ALPHA Y OMEGA,KM. 58 CARRETERA INTERAMERICANA (INTERIOR 100 METROS),78399790,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARCO TULIO GODOY JORDÁN,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0614-43,04-003,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SAN JOSE LAS MINAS,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARÍA ESTELA CALICIO CAMEY,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0616-43,04-028,CHIMALTENANGO,CHIMALTENANGO,COLEGIO MIXTO CRISTIANO VISIÓN DE FE,2A. CALLE 4-24 ZONA 1,79645668,ISMAEL CRISTAL AJCET,BRENDA SUCELY AREVALO MARROQUÍN,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
