0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-01-0004-43,02-014,EL PROGRESO,GUASTATOYA,EOUM TIPO FEDERACION,BARRIO EL PORVENIR,79451057,CARLA MARLENY ALDANA RODAS,FLOR DE MARÍA ENRÍQUEZ PENSAMIENTO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0005-43,02-012,EL PROGRESO,GUASTATOYA,EOUM,COLONIA NUEVA VIDA,42958673,CARLOTA EUGENIA ALBUREZ AGUILAR,BRENDA ELIZABETH POLANCO CASTILLO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0006-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA EL SUBINAL,57742119,CARLA MARLENY ALDANA RODAS,MAIRA ELIZABETH BELTETÓN CORONADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0007-43,02-012,EL PROGRESO,GUASTATOYA,EORM,ALDEA PALO AMONTONADO,,CARLOTA EUGENIA ALBUREZ AGUILAR,ASTRID GLENDI CHAVEZ HERNÁNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0008-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA ANSHAGUA,33843226,CARLA MARLENY ALDANA RODAS,SANDY MELISSA CÓRDOVA MONTERROSO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0009-43,02-012,EL PROGRESO,GUASTATOYA,EORM,ALDEA SANTA LUCIA,55912014,CARLOTA EUGENIA ALBUREZ AGUILAR,CAROLIN YUSENI ORELLANA RAMÍREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0010-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA CHILZAPOTE,,CARLA MARLENY ALDANA RODAS,ZOE CHARLENE ORELLANA QUIROA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0011-43,02-012,EL PROGRESO,GUASTATOYA,EORM,ALDEA SAN RAFAEL,32915330,CARLOTA EUGENIA ALBUREZ AGUILAR,GEARBET ALFONZO LIMA AMAYA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0012-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA TIERRA BLANCA,42406215,CARLA MARLENY ALDANA RODAS,YANIRA MELISSA SÁNCHEZ VÁSQUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
